9	1
16	2
50	5
53	8
59	1
61	2
80	5
93	6
169	1
188	1
190	2
195	1
282	1
372	1
456	191
836	1
885	2
920	4
987	1
999	8
1000	22
1004	1
1005	2
1006	1
1009	1
1029	4
1032	1
1035	1
1055	1
1060	2
1061	1
1062	1
1063	1
1066	1
1067	1
1068	4
1070	1
1071	2
1072	1
1074	2
1075	1
1081	1
1084	1
1086	1
1087	3
1088	10
1089	3
1091	1
1095	8
1099	1
1105	1
1125	1
1149	1
1157	1
1172	1
1174	2
1175	4
1181	1
1187	1
1188	1
1194	1
1195	1
1198	1
1199	1
1211	4
1212	6
1221	1
1236	1
1244	1
1255	5
1257	1
1260	1
1273	2
1278	1
1282	1
1294	1
1299	2
1305	3
1308	2
1309	2
1311	4
1315	1
1317	2
1322	1
1325	1
1326	1
1327	1
1329	1
1332	1
1333	1
1334	2
1335	3
1336	7
1337	3
1338	3
1339	1
1341	1
1342	1
1345	2
1346	3
1347	2
1349	1
1350	1
1351	2
1352	3
1353	6
1354	4
1355	1
1357	5
1358	7
1359	1
1360	6
1361	14
1362	25
1363	23
1364	36
1365	30
1366	34
1367	10
1368	19
1369	15
1370	32
1371	51
1372	14
1374	1
1377	2
1381	1
1382	1
1384	1
1386	1
1388	1
1389	1
1391	1
1392	10
1393	1
1394	1
1397	1
1398	1
1399	11
1400	1
1402	5
1403	2
1404	2
1405	4
1406	4
1407	7
1408	8
1410	1
1411	1
1412	2
1415	1
1420	1
1422	1
1425	1
1427	4
1429	1
1431	2
1433	2
1435	1
1442	1
1444	1
1446	1
1447	2
1454	1
1456	1
1457	1
1459	4
1461	1
1463	2
1466	1
1467	1
1469	1
1470	1
1471	1
1474	4
1475	1
1476	4
1477	2
1478	4
1479	3
1480	5
1481	4
1482	5
1483	4
1484	8
1485	3
1486	8
1487	6
1488	10
1489	6
1490	11
1491	17
1492	3
1493	6
1494	10
1495	10
1496	9
1497	12
1498	9
1499	41
1500	19
1501	26
1502	28
1503	28
1504	11
1505	19
1506	20
1507	30
1508	40
1509	21
1510	21
1511	28
1512	31
1513	28
1514	31
1515	37
1516	30
1517	51
1518	47
1519	30
1520	79
1521	60
1522	30
1523	30
1524	31
1525	40
1526	41
1527	46
1528	48
1529	56
1530	85
1531	59
1532	84
1533	72
1534	57
